Iteration (t),m,Real number of distinct Integers (n),Estimation,Within 1 StDev range?,Within 2 StDev range?,Sigma,1 StDev lower bound,1 StDev upper bound,2 StDev lower bound,2 StDev upper bound
253,16,1000000,1550341.93068851,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
253,256,1000000,1001345.358609104,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
253,1024,1000000,988468.8323070566,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
254,16,1000000,1950430.17086619,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
254,256,1000000,1018410.8106942571,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
254,1024,1000000,1037745.5107844251,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
255,16,1000000,1333750.043312909,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
255,256,1000000,1045482.4358620385,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
255,1024,1000000,1011344.7041468009,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
256,16,1000000,1286453.9424862105,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
256,256,1000000,983390.4481086717,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
256,1024,1000000,986140.9301755233,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
257,16,1000000,1014769.2637233884,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
257,256,1000000,1056113.588598235,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
257,1024,1000000,1022614.7896929855,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
258,16,1000000,685784.5213253523,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
258,256,1000000,919090.8911156153,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
258,1024,1000000,975793.025418414,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
259,16,1000000,1016190.509190788,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
259,256,1000000,1059883.7625088533,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
259,1024,1000000,1022604.5599877911,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
260,16,1000000,884829.2970271008,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
260,256,1000000,1014684.2792048219,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
260,1024,1000000,1013319.9741396409,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
261,16,1000000,855109.0436796967,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
261,256,1000000,843920.3130878031,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
261,1024,1000000,962642.0090346035,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
262,16,1000000,855613.2353328096,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
262,256,1000000,910352.5776820095,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
262,1024,1000000,958950.7817671497,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
263,16,1000000,1422666.712867103,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
263,256,1000000,1032157.4346668038,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
263,1024,1000000,961789.6209096217,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
264,16,1000000,916111.1408613924,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
264,256,1000000,971066.6291937549,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
264,1024,1000000,1040718.6928556885,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
265,16,1000000,792096.0955919462,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
265,256,1000000,1085750.792149723,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
265,1024,1000000,995438.8979920432,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
266,16,1000000,914955.8935210878,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
266,256,1000000,1142623.0637101864,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
266,1024,1000000,1029274.2523067886,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
267,16,1000000,875223.1888567221,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
267,256,1000000,1010979.7435016832,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
267,1024,1000000,1022482.1493955187,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
268,16,1000000,1060760.2683658225,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
268,256,1000000,1078585.6862950101,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
268,1024,1000000,997582.2873410389,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
269,16,1000000,869976.0474367178,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
269,256,1000000,1010705.451085122,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
269,1024,1000000,1052724.3074336105,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
270,16,1000000,610483.8229383447,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
270,256,1000000,1030312.6468540652,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
270,1024,1000000,1017110.7436919027,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
271,16,1000000,809776.8120114092,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
271,256,1000000,915961.1928800208,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
271,1024,1000000,971972.2803692624,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
272,16,1000000,1862798.5200570542,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
272,256,1000000,1099674.8219641377,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
272,1024,1000000,1019600.1350190676,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
273,16,1000000,837829.1265152686,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
273,256,1000000,1052605.7847612852,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
273,1024,1000000,1037689.1018576685,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
274,16,1000000,916111.1408613924,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
274,256,1000000,988649.5365524688,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
274,1024,1000000,984076.9307974061,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
275,16,1000000,915460.9555236624,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
275,256,1000000,972441.3887928653,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
275,1024,1000000,998242.0217830258,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
276,16,1000000,805283.0450191151,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
276,256,1000000,1014512.2219362234,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
276,1024,1000000,951687.4714127791,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
277,16,1000000,1313230.811877326,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
277,256,1000000,1076911.946326423,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
277,1024,1000000,987112.6815974066,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
278,16,1000000,1119259.581276086,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
278,256,1000000,907639.6608149712,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
278,1024,1000000,957742.7438203428,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
279,16,1000000,1522686.3033834684,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
279,256,1000000,1115839.8842982484,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
279,1024,1000000,997190.3677432587,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
280,16,1000000,1067000.0346503274,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
280,256,1000000,1012540.3454894265,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
280,1024,1000000,1031442.7725606066,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
281,16,1000000,1013263.539931532,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
281,256,1000000,939407.7628546574,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
281,1024,1000000,988910.5305524522,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
282,16,1000000,675882.6488702586,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
282,256,1000000,957831.203431213,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
282,1024,1000000,974233.2435527905,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
283,16,1000000,770233.5706605335,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
283,256,1000000,1054787.6774886167,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
283,1024,1000000,943169.3774212602,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
284,16,1000000,1085761.3521320203,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
284,256,1000000,1033420.2661715538,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
284,1024,1000000,1041335.5463405382,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
285,16,1000000,1376774.238258487,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
285,256,1000000,933743.524607463,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
285,1024,1000000,974979.7382226799,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
286,16,1000000,1046984.1609844483,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
286,256,1000000,1033286.408346762,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
286,1024,1000000,961841.2909022132,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
287,16,1000000,743401.6634858839,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
287,256,1000000,1089994.6286087483,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
287,1024,1000000,1017370.8284684294,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
288,16,1000000,784389.2146618624,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
288,256,1000000,1006649.9112728313,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
288,1024,1000000,1017332.6155910695,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
289,16,1000000,1516321.8883223045,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
289,256,1000000,1054154.110492696,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
289,1024,1000000,991623.0009916272,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
290,16,1000000,778497.8793586079,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
290,256,1000000,941091.665463947,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
290,1024,1000000,984944.3491372834,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
291,16,1000000,2727669.261512115,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
291,256,1000000,1037429.0228132152,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
291,1024,1000000,954810.3915409751,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
292,16,1000000,842694.5685972389,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
292,256,1000000,980611.336228956,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
292,1024,1000000,975400.4727907276,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
293,16,1000000,671193.3612971533,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
293,256,1000000,1077473.2022182492,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
293,1024,1000000,1009810.3739092774,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
294,16,1000000,816153.0073815779,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
294,256,1000000,1117225.8364748629,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
294,1024,1000000,1013279.4729769436,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
295,16,1000000,1193355.3019115503,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
295,256,1000000,956427.6228863462,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
295,1024,1000000,973041.9140222718,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
296,16,1000000,489581.6623226873,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
296,256,1000000,847479.3623542697,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
296,1024,1000000,1007160.3952167195,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
297,16,1000000,1904357.0172236813,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
297,256,1000000,1068817.2529309744,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
297,1024,1000000,1023182.0335016757,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
298,16,1000000,602624.6042875604,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
298,256,1000000,1017025.8743930636,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
298,1024,1000000,1022252.9146069229,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
299,16,1000000,1106036.621283876,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
299,256,1000000,1040282.3461877963,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
299,1024,1000000,970220.1210708601,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
300,16,1000000,1112822.1220279487,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
300,256,1000000,1000492.8906844747,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
300,1024,1000000,973799.0017461812,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
301,16,1000000,835898.6446569385,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
301,256,1000000,943790.832748591,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
301,1024,1000000,977774.7167996354,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
302,16,1000000,906950.0294527783,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
302,256,1000000,1050019.502253203,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
302,1024,1000000,1027392.5485807934,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
303,16,1000000,847616.8499558675,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
303,256,1000000,1097410.2174822928,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
303,1024,1000000,1012753.899647462,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
304,16,1000000,1193355.3019115503,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
304,256,1000000,1025754.7124255727,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
304,1024,1000000,1055164.6485216527,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
305,16,1000000,1353341.1491018375,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
305,256,1000000,1019104.036728691,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
305,1024,1000000,1003242.964522781,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
306,16,1000000,743401.6634858839,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
306,256,1000000,933033.0944372341,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
306,1024,1000000,943732.8221366388,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
307,16,1000000,989175.2195803989,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
307,256,1000000,1046649.0864630535,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
307,1024,1000000,1043843.2113918222,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
308,16,1000000,944739.6140133106,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
308,256,1000000,987798.7704760663,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
308,1024,1000000,1009050.575965241,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
309,16,1000000,849601.9011267244,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
309,256,1000000,852823.9257383017,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
309,1024,1000000,957009.9012439384,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
310,16,1000000,876015.7241922398,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
310,256,1000000,1082273.5351990398,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
310,1024,1000000,1043920.6663450387,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
311,16,1000000,1067000.0346503274,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
311,256,1000000,1131834.8260013429,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
311,1024,1000000,983837.4062246154,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
312,16,1000000,1115388.199173286,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
312,256,1000000,1047910.1061123146,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
312,1024,1000000,1041221.1830259018,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
313,16,1000000,1086167.699943447,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
313,256,1000000,870795.7723112496,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
313,1024,1000000,941381.26971645,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
314,16,1000000,995110.6100630518,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
314,256,1000000,951151.3710755664,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
314,1024,1000000,990791.2939642399,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
315,16,1000000,944739.6140133106,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
315,256,1000000,987541.8503044808,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
315,1024,1000000,1018823.0827200682,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
316,16,1000000,913803.556123706,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
316,256,1000000,962648.4268382638,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
316,1024,1000000,984423.592406633,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
317,16,1000000,780906.7924791849,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
317,256,1000000,1039290.5156857015,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
317,1024,1000000,969368.6099409377,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
318,16,1000000,592777.7970279597,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
318,256,1000000,1001040.7390670594,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
318,1024,1000000,990843.6873866525,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
319,16,1000000,925459.2137273247,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
319,256,1000000,1095802.2547269017,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
319,1024,1000000,1085561.7183634166,false,false,0.0325,967500.0,1032500.0,935000.0,1065000.0
320,16,1000000,844656.6048454279,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
320,256,1000000,917003.4743304873,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
320,1024,1000000,989805.3724348416,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
321,16,1000000,853600.027720262,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
321,256,1000000,914662.7275693939,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
321,1024,1000000,978932.761716711,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
322,16,1000000,996306.2458801547,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
322,256,1000000,936928.3285353256,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
322,1024,1000000,978278.1173910197,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
323,16,1000000,867894.765026582,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
323,256,1000000,1027783.7951466644,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
323,1024,1000000,1021657.0555402372,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
324,16,1000000,1169315.1064661122,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
324,256,1000000,1051134.74530592,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
324,1024,1000000,1048597.6802742877,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
325,16,1000000,1012644.8340017063,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
325,256,1000000,925213.239428361,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
325,1024,1000000,1015043.9463641022,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
326,16,1000000,1277394.4076799694,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
326,256,1000000,1171261.8471339415,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
326,1024,1000000,1101270.440319745,false,false,0.0325,967500.0,1032500.0,935000.0,1065000.0
327,16,1000000,1197293.768254493,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
327,256,1000000,939363.3472308486,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
327,1024,1000000,965182.9807840333,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
328,16,1000000,1140817.6471104128,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
328,256,1000000,1016481.3270849597,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
328,1024,1000000,1023697.985486064,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
329,16,1000000,1363834.6307560576,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
329,256,1000000,1065040.8191157312,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
329,1024,1000000,943019.5010214355,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
330,16,1000000,933777.9064124002,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
330,256,1000000,973033.48714954,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
330,1024,1000000,1027873.4092993252,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
331,16,1000000,932596.4313139108,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
331,256,1000000,962948.9111448552,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
331,1024,1000000,1009202.8940230344,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
332,16,1000000,1078899.6632895505,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
332,256,1000000,1063958.9534197575,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
332,1024,1000000,997877.4112097633,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
333,16,1000000,1361275.841580155,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
333,256,1000000,1021144.49543403,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
333,1024,1000000,995813.9518411678,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
334,16,1000000,886992.6938413479,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
334,256,1000000,1057250.313515011,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
334,1024,1000000,974710.1428725832,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
335,16,1000000,832064.2472043838,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
335,256,1000000,1103198.7117678814,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
335,1024,1000000,983940.0453338302,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
336,16,1000000,2267375.073631946,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
336,256,1000000,1047345.8827431368,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
336,1024,1000000,1026551.2004654623,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
337,16,1000000,873116.7551891969,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
337,256,1000000,1053229.0636761866,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
337,1024,1000000,1001458.9918787512,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
338,16,1000000,1051536.2660322068,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
338,256,1000000,901169.688473569,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
338,1024,1000000,902404.4118390834,false,false,0.0325,967500.0,1032500.0,935000.0,1065000.0
339,16,1000000,687083.3556460441,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
339,256,1000000,1029176.7464953829,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
339,1024,1000000,1019680.6779075431,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
340,16,1000000,1162756.4480163825,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
340,256,1000000,1075647.5933123813,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
340,1024,1000000,1071363.0023335856,false,false,0.0325,967500.0,1032500.0,935000.0,1065000.0
341,16,1000000,1427916.4055345093,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
341,256,1000000,1109820.8449694694,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
341,1024,1000000,1004977.5670205492,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
342,16,1000000,615925.3171156389,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
342,256,1000000,912734.57588355,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
342,1024,1000000,960678.1642627224,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
343,16,1000000,1004930.7805570951,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
343,256,1000000,1051260.6732744488,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
343,1024,1000000,1028320.0262473759,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
344,16,1000000,615925.3171156389,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
344,256,1000000,1016104.6742680398,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
344,1024,1000000,1006522.5299947293,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
345,16,1000000,611770.6775398166,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
345,256,1000000,1001193.025667459,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
345,1024,1000000,960745.7345863923,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
346,16,1000000,820769.2574233288,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
346,256,1000000,932909.6517023296,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
346,1024,1000000,979958.9855359627,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
347,16,1000000,891351.3802975708,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
347,256,1000000,1019325.6737311133,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
347,1024,1000000,977798.2490950073,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
348,16,1000000,1017615.7413214904,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
348,256,1000000,987991.5483502767,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
348,1024,1000000,1001309.002238821,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
349,16,1000000,743401.6634858839,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
349,256,1000000,1027505.6572279979,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
349,1024,1000000,969320.316035645,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
350,16,1000000,811588.393246334,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
350,256,1000000,1020252.7260909798,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
350,1024,1000000,993408.7006469865,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
351,16,1000000,1308494.1813565781,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
