Iteration (t),m,Real number of distinct Integers (n),Estimation,Within 1 StDev range?,Within 2 StDev range?,Sigma,1 StDev lower bound,1 StDev upper bound,2 StDev lower bound,2 StDev upper bound
20,16,1000000,690352.0680896505,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
20,256,1000000,960171.8988638371,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
20,1024,1000000,1010072.3721378458,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
21,16,1000000,1553661.7206899843,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
21,256,1000000,977146.1584601927,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
21,1024,1000000,1005035.2965091396,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
22,16,1000000,1376774.238258487,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
22,256,1000000,1052981.9098770379,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
22,1024,1000000,1008112.296326731,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
23,16,1000000,1537203.4397504719,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
23,256,1000000,1016753.5278275978,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
23,1024,1000000,988699.5126178042,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
24,16,1000000,828264.8670801627,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
24,256,1000000,956965.3688888609,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
24,1024,1000000,995826.7818659507,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
25,16,1000000,762142.881893091,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
25,256,1000000,1023075.8355494457,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
25,1024,1000000,1027725.7411257687,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
26,16,1000000,700347.5130909486,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
26,256,1000000,959495.3008556764,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
26,1024,1000000,998688.9194166791,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
27,16,1000000,828974.6056123652,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
27,256,1000000,1086567.9110089126,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
27,1024,1000000,998316.6505741625,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
28,16,1000000,1048497.1438760442,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
28,256,1000000,1063342.9578818707,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
28,1024,1000000,990230.6480667318,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
29,16,1000000,694980.8654810562,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
29,256,1000000,897230.0503866096,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
29,1024,1000000,955037.7161124301,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
30,16,1000000,1155321.6109268342,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
30,256,1000000,1102902.812121921,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
30,1024,1000000,1037572.899897849,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
31,16,1000000,758953.9995420738,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
31,256,1000000,903702.3153466479,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
31,1024,1000000,971291.8536565176,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
32,16,1000000,1160896.0376995562,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
32,256,1000000,1096965.1195803774,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
32,1024,1000000,1016462.0097536591,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
33,16,1000000,1007722.2549475315,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
33,256,1000000,1018389.798669608,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
33,1024,1000000,986088.1507326447,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
34,16,1000000,746460.9295907641,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
34,256,1000000,987759.2355950162,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
34,1024,1000000,950165.1389869469,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
35,16,1000000,880534.0091774545,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
35,256,1000000,1008361.9358921056,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
35,1024,1000000,1034014.0359100336,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
36,16,1000000,1126645.9993202216,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
36,256,1000000,1040611.3204292068,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
36,1024,1000000,1037432.960166176,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
37,16,1000000,1029163.1539889683,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
37,256,1000000,1090759.3934427253,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
37,1024,1000000,1061003.3009738901,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
38,16,1000000,923104.3556771281,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
38,256,1000000,917450.8928712291,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
38,1024,1000000,966149.3402279894,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
39,16,1000000,923104.3556771281,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
39,256,1000000,1095887.4071539738,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
39,1024,1000000,1057744.826632605,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
40,16,1000000,637574.7131478231,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
40,256,1000000,1007404.952637812,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
40,1024,1000000,1040119.5535180529,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
41,16,1000000,1054593.0575032306,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
41,256,1000000,1059121.894299171,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
41,1024,1000000,983698.1445364644,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
42,16,1000000,1162756.4480163825,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
42,256,1000000,979740.308890801,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
42,1024,1000000,1018312.3590116418,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
43,16,1000000,865823.4171386905,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
43,256,1000000,981503.4303764914,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
43,1024,1000000,1007771.5070806948,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
44,16,1000000,1042471.2982215842,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
44,256,1000000,1098973.9671799117,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
44,1024,1000000,1012572.6822923411,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
45,16,1000000,524059.24417639774,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
45,256,1000000,992463.7612890257,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
45,1024,1000000,1007791.21720622,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
46,16,1000000,972600.5677777784,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
46,256,1000000,870557.7177865122,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
46,1024,1000000,969618.6810518133,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
47,16,1000000,1027705.4158105137,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
47,256,1000000,950158.6525485541,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
47,1024,1000000,1023193.5962319036,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
48,16,1000000,1584192.1911838923,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
48,256,1000000,999044.9993810239,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
48,1024,1000000,977736.7054843482,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
49,16,1000000,681277.017429317,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
49,256,1000000,928046.5677109885,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
49,1024,1000000,1045481.2368415447,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
50,16,1000000,991202.2179811784,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
50,256,1000000,867551.0459955807,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
50,1024,1000000,953224.4384517998,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
51,16,1000000,738859.4944625484,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
51,256,1000000,1053122.3239402717,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
51,1024,1000000,1065098.201734719,false,false,0.0325,967500.0,1032500.0,935000.0,1065000.0
52,16,1000000,1527494.7864467846,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
52,256,1000000,1035942.9921645981,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
52,1024,1000000,1061682.2329786718,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
53,16,1000000,1697216.429385316,false,false,0.26,740000.0,1260000.0,480000.0,1520000.0
53,256,1000000,1176205.4995259382,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
53,1024,1000000,1047235.489552745,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
54,16,1000000,924280.2847926402,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
54,256,1000000,1056531.7999265504,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
54,1024,1000000,1026904.8114099524,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
55,16,1000000,683201.5287779875,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
55,256,1000000,974450.2702067686,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
55,1024,1000000,972586.196410295,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
56,16,1000000,902437.8402515206,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
56,256,1000000,888892.5923736887,false,true,0.065,935000.0,1065000.0,870000.0,1130000.0
56,1024,1000000,1021846.8113344057,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
57,16,1000000,1125771.9527730374,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
57,256,1000000,1009937.7069312653,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
57,1024,1000000,1023662.7678668088,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
58,16,1000000,1462454.0661370072,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
58,256,1000000,1034373.8225389593,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
58,1024,1000000,1000297.8645419966,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
59,16,1000000,1389961.7309621123,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
59,256,1000000,988243.7560573526,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
59,1024,1000000,984306.1770022796,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
60,16,1000000,952178.5086118407,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
60,256,1000000,828976.223066189,false,false,0.065,935000.0,1065000.0,870000.0,1130000.0
60,1024,1000000,996403.5354707367,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
61,16,1000000,936206.4820157712,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
61,256,1000000,1046596.3786737887,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
61,1024,1000000,1036519.8293820453,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
62,16,1000000,1007722.2549475315,true,true,0.26,740000.0,1260000.0,480000.0,1520000.0
62,256,1000000,1010053.9568207939,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
62,1024,1000000,1027739.0733228101,true,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
63,16,1000000,1333750.043312909,false,true,0.26,740000.0,1260000.0,480000.0,1520000.0
63,256,1000000,944422.8677850636,true,true,0.065,935000.0,1065000.0,870000.0,1130000.0
63,1024,1000000,964944.9249493576,false,true,0.0325,967500.0,1032500.0,935000.0,1065000.0
